,ID,Count
0,18288,600.3656572557984
1,18289,479.12320400987
2,18290,405.4858041239672
3,18291,335.03843358693223
4,18292,282.0028620376968
5,18293,252.4390783396617
6,18294,271.4405575046567
7,18295,314.7993510625106
8,18296,362.51109436731474
9,18297,468.443540537574
10,18298,664.9024048521221
11,18299,737.1314974669531
12,18300,744.9412014247164
13,18301,658.8424159887214
14,18302,704.4630363758733
15,18303,695.5650949813728
16,18304,677.811888170283
17,18305,693.601999997454
18,18306,710.6723911619633
19,18307,754.0951986866844
20,18308,724.6594429223826
21,18309,676.3929119047323
22,18310,678.8467806346305
23,18311,662.8006129399923
24,18312,470.23546434808367
25,18313,375.27250200710387
26,18314,317.5961234364031
27,18315,262.4183303760819
28,18316,220.87830170686235
29,18317,197.72251425113745
30,18318,212.6053931607897
31,18319,246.5661005660819
32,18320,283.9362490691499
33,18321,366.9076722549639
34,18322,520.7837712119158
35,18323,577.357095309807
36,18324,583.4740337499337
37,18325,516.0372943895227
38,18326,551.769574129934
39,18327,544.8002754153636
40,18328,530.8951038793384
41,18329,543.262684332053
42,18330,556.633041578231
43,18331,590.6438878231966
44,18332,567.5883780468175
45,18333,529.7836929332491
46,18334,531.7056817873873
47,18335,519.1375459759804
48,18336,464.55924532462564
49,18337,370.74258226184065
50,18338,313.7624160827362
51,18339,259.25067495253813
52,18340,218.2120765641974
53,18341,195.3358029504188
54,18342,210.0390304156444
55,18343,243.58979763556317
56,18344,280.5088505409466
57,18345,362.47872448941496
58,18346,514.4973828525021
59,18347,570.387809545133
60,18348,576.4309103337603
61,18349,509.80820081979704
62,18350,545.1091556998106
63,18351,538.2239834898172
64,18352,524.4866614785119
65,18353,536.70495269049
66,18354,549.913916162899
67,18355,583.5142169958395
68,18356,560.7370106081036
69,18357,523.3886663898672
70,18358,525.287454889026
71,18359,512.8710292249621
72,18360,647.82728432738
73,18361,517.0000654779285
74,18362,437.54129528267015
75,18363,361.5247407188784
76,18364,304.2964667923891
77,18365,272.3955319603024
78,18366,292.899164199908
79,18367,339.68566696338644
80,18368,391.1692398861909
81,18369,505.4761261899755
82,18370,717.4659544101269
83,18371,795.4050842597212
84,18372,803.8321807220409
85,18373,710.9268959530266
86,18374,760.1540332110574
87,18375,750.5526692089063
88,18376,731.395990912049
89,18377,748.4343826664651
90,18378,766.8542656442125
91,18379,813.7098429688579
92,18380,781.9470572591035
93,18381,729.8648381395227
94,18382,732.512696317574
95,18383,715.198006318492
96,18384,712.4894259033505
97,18385,568.6038374052401
98,18386,481.2139806810269
99,18387,397.6099204158894
100,18388,334.66947159293034
101,18389,299.58438133173115
102,18390,322.13456024013834
103,18391,373.59100441968064
104,18392,430.213351459768
105,18393,555.9296492596396
106,18394,789.0790004215723
107,18395,874.7975356320801
108,18396,884.065773117175
109,18397,781.8872533019905
110,18398,836.0279411247578
111,18399,825.4682279245269
112,18400,804.3994476305409
113,18401,823.138507026634
114,18402,843.3969496170049
115,18403,894.9293629562615
116,18404,859.9962110144892
117,18405,802.7154645902153
118,18406,805.6276157125812
119,18407,786.5846796776333
120,18408,694.6455655827567
121,18409,554.3635033265292
122,18410,469.16227192099564
123,18411,387.65202402607565
124,18412,326.2878801088186
125,18413,292.0814743967445
126,18414,314.06689791648637
127,18415,364.2346470373335
128,18416,419.43892215259694
129,18417,542.0067324431712
130,18418,769.3170012205537
131,18419,852.8887683337766
132,18420,861.9248885002287
133,18421,762.3053669930339
134,18422,815.0901345227448
135,18423,804.7948828576889
136,18424,784.253757233405
137,18425,802.5235083896189
138,18426,822.274590720661
139,18427,872.5164064002498
140,18428,838.4581338056579
141,18429,782.6119485146362
142,18430,785.4511665997235
143,18431,766.8851492085446
144,18432,588.5841201639992
145,18433,469.7209210322163
146,18434,397.5285767513676
147,18435,328.463660888365
148,18436,276.46885598832165
149,18437,247.48523008246343
150,18438,266.11382544093834
151,18439,308.62174881928786
152,18440,355.3971999383775
153,18441,459.25083458986234
154,18442,651.8544027711935
155,18443,722.6660763123913
156,18444,730.3225231413659
157,18445,645.9133347399675
158,18446,690.6386990032119
159,18447,681.9153702390524
160,18448,664.5105512179958
161,18449,679.9907989049931
162,18450,696.726201809855
163,18451,739.2968829490981
164,18452,710.4387725650256
165,18453,663.1194208515283
166,18454,665.5251350191023
167,18455,649.7938562885327
168,18456,605.8126530887654
169,18457,483.4701916567793
170,18458,409.1646945779718
